Energy_Source,Transport,Frequency of Transport,Waste Production,How Long Machine Works Daily,Machine repairing(in Months),Energy efficiency,Recycling Waste,CarbonEmission
electricity,public,very frequently,medium Scale,5,2,Yes,YES,2635
electricity,public,rarely,small Scale,19,2,No,YES,1735
wood,public,very frequently,large Scale,10,1,Yes,YES,3119
electricity,private,rarely,Mega Scale,16,2,Yes,YES,766
electricity,private,rarely,medium Scale,19,0,No,YES,2297
wood,private,very frequently,small Scale,15,2,No,YES,3670
wood,public,very frequently,medium Scale,14,2,Yes,YES,2822
wood,public,very frequently,medium Scale,2,0,Sometimes,YES,2486
natural gas,public,frequently,large Scale,6,0,Sometimes,YES,1650
natural gas,public,very frequently,medium Scale,21,1,Yes,YES,3202
natural gas,public,rarely,small Scale,19,1,No,YES,1133
natural gas,private,very frequently,large Scale,13,2,No,YES,3289
electricity,private,very frequently,medium Scale,10,1,Yes,YES,2426
coal,public,rarely,large Scale,2,2,Yes,YES,2795
wood,private,rarely,Mega Scale,5,0,Yes,YES,1608
wood,public,very frequently,medium Scale,2,1,Sometimes,YES,2438
electricity,public,rarely,large Scale,4,2,Sometimes,YES,1528
natural gas,private,very frequently,Mega Scale,19,2,Yes,YES,3211
wood,private,frequently,Mega Scale,16,1,Sometimes,YES,3941
wood,public,very frequently,Mega Scale,14,2,Sometimes,YES,2454
wood,public,frequently,large Scale,24,0,No,YES,2198
coal,private,rarely,small Scale,23,0,Sometimes,YES,2126
wood,public,rarely,Mega Scale,9,2,Sometimes,YES,1581
coal,public,frequently,Mega Scale,13,1,Yes,YES,2153
coal,private,rarely,Mega Scale,5,2,No,YES,4422
coal,public,rarely,large Scale,10,2,No,YES,1667
wood,public,very frequently,large Scale,9,0,No,YES,2768
electricity,public,frequently,small Scale,13,2,Yes,YES,1493
electricity,public,frequently,large Scale,11,2,Yes,YES,1974
electricity,public,frequently,small Scale,1,2,Sometimes,YES,1783
natural gas,private,very frequently,small Scale,21,1,Sometimes,YES,2380
wood,private,frequently,small Scale,21,1,Sometimes,NO,2324
wood,private,rarely,small Scale,10,2,No,YES,2262
wood,private,frequently,small Scale,9,2,No,YES,2173
natural gas,private,rarely,Mega Scale,16,0,No,YES,1662
wood,public,rarely,large Scale,20,1,Sometimes,YES,1781
electricity,public,frequently,large Scale,20,2,Yes,YES,2176
coal,public,rarely,large Scale,2,1,Sometimes,YES,1731
coal,private,rarely,large Scale,13,0,Yes,YES,2303
wood,private,rarely,Mega Scale,18,2,Sometimes,YES,2162
coal,private,very frequently,medium Scale,5,1,Sometimes,YES,6069
coal,public,very frequently,Mega Scale,18,2,Yes,NO,3811
electricity,public,rarely,large Scale,12,1,Sometimes,YES,1097
electricity,private,very frequently,Mega Scale,2,0,Yes,YES,2188
coal,private,very frequently,Mega Scale,12,1,No,YES,3779
coal,public,rarely,Mega Scale,9,0,Yes,YES,1179
natural gas,private,rarely,small Scale,15,0,Yes,YES,848
coal,public,frequently,medium Scale,22,1,Yes,YES,2239
electricity,public,rarely,large Scale,3,2,Sometimes,YES,1509
natural gas,public,very frequently,large Scale,3,0,Sometimes,YES,3058
electricity,private,very frequently,medium Scale,18,0,No,YES,1825
coal,public,rarely,medium Scale,10,2,Sometimes,YES,2034
wood,public,very frequently,small Scale,1,1,Yes,YES,1997
wood,private,rarely,large Scale,12,0,Yes,YES,2801
coal,public,very frequently,large Scale,9,0,No,YES,2753
electricity,public,very frequently,medium Scale,12,2,Yes,YES,2912
wood,private,rarely,large Scale,21,2,No,YES,1642
electricity,private,rarely,Mega Scale,5,0,No,YES,2207
electricity,public,rarely,Mega Scale,1,1,Sometimes,YES,1283
natural gas,public,rarely,medium Scale,1,1,Sometimes,YES,1161
natural gas,public,very frequently,small Scale,2,0,No,YES,2156
electricity,private,frequently,small Scale,18,1,No,YES,1639
wood,private,very frequently,small Scale,18,0,Yes,NO,2278
electricity,private,very frequently,Mega Scale,10,0,Sometimes,NO,2964
natural gas,public,rarely,small Scale,1,1,Sometimes,YES,1183
natural gas,private,very frequently,medium Scale,17,1,Sometimes,YES,2274
coal,public,rarely,Mega Scale,3,0,Yes,YES,1544
electricity,public,very frequently,small Scale,11,2,No,YES,2404
electricity,private,rarely,large Scale,16,2,Yes,YES,2108
natural gas,private,very frequently,small Scale,16,1,Sometimes,YES,2094
natural gas,public,rarely,Mega Scale,11,0,Yes,YES,1967
natural gas,public,frequently,medium Scale,18,0,Yes,YES,1750
coal,private,rarely,small Scale,21,1,Sometimes,YES,3800
natural gas,private,rarely,medium Scale,7,2,No,YES,3266
coal,public,rarely,medium Scale,12,1,No,YES,1704
coal,private,rarely,Mega Scale,15,0,No,YES,1974
wood,private,rarely,small Scale,14,2,Yes,YES,2288
wood,public,rarely,small Scale,10,2,Sometimes,YES,1397
natural gas,public,very frequently,medium Scale,6,2,Yes,YES,2336
coal,private,frequently,medium Scale,18,2,Yes,YES,3799
electricity,public,very frequently,medium Scale,6,1,No,YES,2313
electricity,private,rarely,large Scale,3,2,No,YES,1616
wood,public,frequently,large Scale,17,0,Sometimes,YES,1353
coal,private,very frequently,Mega Scale,21,1,Sometimes,YES,5015
coal,private,frequently,large Scale,23,1,Yes,YES,2179
electricity,private,frequently,medium Scale,12,1,Sometimes,YES,1376
electricity,private,very frequently,medium Scale,14,1,Yes,YES,1752
wood,private,rarely,Mega Scale,8,0,Sometimes,NO,3312
natural gas,public,frequently,large Scale,9,2,Sometimes,YES,2025
coal,private,frequently,small Scale,10,2,Yes,YES,3633
natural gas,public,rarely,medium Scale,21,2,No,NO,2445
electricity,public,frequently,large Scale,7,0,Sometimes,YES,1151
electricity,private,frequently,large Scale,20,2,Yes,YES,2080
coal,public,rarely,small Scale,4,0,No,YES,1164
electricity,public,rarely,medium Scale,11,0,No,YES,1037
wood,private,very frequently,Mega Scale,1,0,Yes,YES,3949
natural gas,public,rarely,small Scale,9,2,No,YES,1546
wood,public,rarely,small Scale,9,1,No,YES,1219
natural gas,public,rarely,Mega Scale,14,0,Yes,YES,1304
coal,private,very frequently,large Scale,13,2,Sometimes,YES,3958
coal,private,rarely,small Scale,5,0,Yes,YES,851
wood,private,frequently,small Scale,5,0,Yes,YES,1357
coal,private,rarely,Mega Scale,24,0,Sometimes,YES,1869
electricity,private,rarely,small Scale,21,2,No,YES,3635
electricity,public,very frequently,large Scale,2,1,No,YES,2279
electricity,private,very frequently,small Scale,17,2,No,YES,4851
coal,public,rarely,small Scale,2,2,Yes,YES,1510
electricity,public,rarely,small Scale,7,2,Yes,YES,1447
electricity,private,very frequently,small Scale,12,0,Yes,YES,2105
natural gas,public,rarely,medium Scale,22,0,Sometimes,YES,891
natural gas,public,rarely,small Scale,12,1,No,YES,1336
electricity,private,frequently,Mega Scale,10,2,Yes,YES,2207
natural gas,private,very frequently,Mega Scale,17,1,Yes,YES,5918
coal,public,rarely,medium Scale,8,1,Yes,YES,1514
electricity,public,frequently,Mega Scale,16,2,No,YES,2499
electricity,public,frequently,large Scale,22,0,No,NO,1632
natural gas,public,rarely,large Scale,24,0,Sometimes,YES,1826
natural gas,public,rarely,medium Scale,23,0,Sometimes,YES,1656
electricity,private,very frequently,small Scale,12,2,Yes,YES,2418
natural gas,public,rarely,large Scale,18,1,Sometimes,YES,1459
coal,public,rarely,large Scale,14,2,No,YES,1874
electricity,public,rarely,medium Scale,20,2,No,YES,1057
coal,public,very frequently,large Scale,10,1,Sometimes,YES,2782
coal,private,rarely,large Scale,7,1,No,YES,1809
electricity,private,very frequently,small Scale,6,2,Yes,YES,2612
electricity,public,frequently,Mega Scale,9,2,Sometimes,YES,2866
wood,private,rarely,large Scale,14,2,Yes,YES,2578
electricity,public,rarely,medium Scale,15,0,No,YES,1322
electricity,public,very frequently,medium Scale,15,1,Sometimes,YES,2249
wood,public,very frequently,medium Scale,4,1,No,YES,3301
electricity,public,very frequently,large Scale,18,0,No,YES,2599
natural gas,private,very frequently,large Scale,15,2,Yes,YES,2741
natural gas,private,rarely,small Scale,6,2,Yes,YES,2467
coal,public,rarely,medium Scale,12,2,No,YES,1579
natural gas,public,rarely,large Scale,10,2,Yes,YES,2456
electricity,public,very frequently,large Scale,17,0,Sometimes,YES,2161
electricity,public,rarely,Mega Scale,21,0,Yes,YES,1565
wood,public,rarely,Mega Scale,2,2,No,YES,2271
natural gas,public,very frequently,Mega Scale,23,2,No,YES,3439
electricity,public,frequently,medium Scale,19,2,No,YES,2573
natural gas,public,rarely,large Scale,13,1,Yes,YES,1544
wood,public,rarely,small Scale,22,0,Yes,YES,791
coal,public,rarely,large Scale,15,0,Yes,YES,1264
natural gas,public,frequently,Mega Scale,14,2,No,YES,3011
natural gas,private,rarely,medium Scale,24,2,No,YES,2780
electricity,private,rarely,Mega Scale,6,1,Sometimes,NO,1273
coal,public,rarely,small Scale,14,1,No,YES,1332
natural gas,public,rarely,large Scale,8,0,Yes,NO,1594
natural gas,public,rarely,Mega Scale,18,2,No,YES,2322
coal,public,rarely,small Scale,0,0,Sometimes,YES,1410
coal,public,very frequently,Mega Scale,9,2,No,NO,3159
electricity,public,rarely,large Scale,17,1,Yes,YES,1159
wood,public,frequently,Mega Scale,4,2,Sometimes,YES,2970
natural gas,public,rarely,Mega Scale,11,1,Yes,YES,1711
electricity,public,frequently,small Scale,8,1,Yes,NO,1211
natural gas,public,frequently,medium Scale,11,0,Sometimes,YES,1514
wood,public,frequently,medium Scale,1,1,No,YES,1649
electricity,public,rarely,medium Scale,15,1,Sometimes,YES,789
coal,private,rarely,medium Scale,4,0,No,YES,1280
coal,private,rarely,medium Scale,20,1,Sometimes,YES,1182
wood,private,rarely,large Scale,10,2,Yes,YES,2727
natural gas,public,rarely,Mega Scale,19,0,Yes,YES,2299
electricity,private,rarely,medium Scale,11,0,No,YES,1174
coal,public,rarely,small Scale,3,2,Sometimes,YES,1507
natural gas,public,very frequently,Mega Scale,17,2,Sometimes,YES,4158
electricity,public,rarely,Mega Scale,11,1,Yes,YES,1107
electricity,public,frequently,Mega Scale,13,1,Sometimes,YES,2048
natural gas,private,rarely,small Scale,14,0,Yes,YES,1423
natural gas,private,very frequently,Mega Scale,1,2,Sometimes,YES,3191
coal,public,frequently,small Scale,14,1,No,YES,1846
electricity,private,very frequently,Mega Scale,5,0,No,YES,2399
electricity,private,rarely,large Scale,20,1,Sometimes,YES,3582
electricity,private,very frequently,small Scale,16,2,No,YES,3538
coal,public,rarely,small Scale,3,1,No,NO,1622
electricity,private,rarely,large Scale,10,1,No,YES,1387
electricity,public,very frequently,medium Scale,5,0,Sometimes,YES,2262
wood,private,very frequently,small Scale,15,1,Sometimes,YES,2729
wood,private,very frequently,small Scale,0,0,Yes,YES,2026
coal,public,frequently,large Scale,12,0,Yes,YES,1802
electricity,public,very frequently,Mega Scale,23,2,Sometimes,YES,2761
wood,public,rarely,small Scale,10,0,Yes,YES,976
electricity,private,very frequently,large Scale,9,1,Sometimes,YES,2522
wood,public,frequently,Mega Scale,8,2,Yes,YES,2457
coal,private,very frequently,large Scale,16,1,No,YES,3559
electricity,public,frequently,large Scale,22,0,Sometimes,YES,1472
coal,private,very frequently,large Scale,24,1,Sometimes,YES,3060
coal,private,rarely,medium Scale,17,1,Sometimes,YES,2790
coal,public,rarely,medium Scale,14,0,Sometimes,YES,1916
coal,private,very frequently,Mega Scale,21,2,No,YES,2809
coal,private,rarely,small Scale,22,2,Yes,YES,1696
wood,public,rarely,small Scale,24,2,No,YES,1648
wood,private,rarely,medium Scale,19,1,Sometimes,YES,1208
electricity,public,very frequently,small Scale,0,2,Yes,YES,2439
natural gas,private,frequently,large Scale,7,0,Yes,YES,2999
natural gas,public,rarely,large Scale,23,1,Yes,YES,1471
coal,public,frequently,medium Scale,21,1,No,YES,2471
electricity,private,very frequently,medium Scale,10,0,No,YES,2899
electricity,public,very frequently,large Scale,20,2,Sometimes,YES,2163
wood,private,rarely,Mega Scale,21,1,Sometimes,YES,1182
natural gas,public,frequently,Mega Scale,11,2,No,NO,2897
electricity,private,frequently,Mega Scale,5,1,Yes,YES,2056
coal,public,very frequently,Mega Scale,16,1,Sometimes,YES,3026
natural gas,public,rarely,large Scale,18,0,Sometimes,YES,1084
natural gas,private,frequently,large Scale,11,0,No,YES,4122
coal,private,rarely,large Scale,2,1,No,YES,1888
natural gas,private,frequently,large Scale,10,0,Sometimes,YES,2960
natural gas,public,rarely,medium Scale,19,1,Sometimes,YES,1761
wood,public,very frequently,medium Scale,9,1,No,YES,3168
electricity,private,rarely,small Scale,8,2,Sometimes,YES,980
wood,public,rarely,medium Scale,20,1,Yes,YES,1557
natural gas,private,rarely,Mega Scale,10,2,Yes,YES,1523
coal,private,frequently,small Scale,5,0,Yes,YES,2551
coal,private,rarely,Mega Scale,10,2,No,YES,3198
coal,private,rarely,medium Scale,14,1,No,YES,4960
wood,public,very frequently,large Scale,1,2,Sometimes,YES,2735
electricity,public,very frequently,small Scale,13,0,No,YES,1581
natural gas,private,rarely,small Scale,16,2,Yes,YES,1998
electricity,private,rarely,Mega Scale,12,0,Sometimes,YES,1734
natural gas,private,very frequently,Mega Scale,8,0,No,YES,2797
coal,private,rarely,large Scale,2,2,No,YES,2409
coal,public,very frequently,small Scale,5,0,Yes,YES,2429
wood,public,frequently,large Scale,6,0,No,YES,2389
coal,private,rarely,small Scale,10,2,Yes,YES,1906
electricity,private,very frequently,medium Scale,8,0,No,YES,1550
coal,public,rarely,small Scale,7,0,Yes,YES,875
coal,private,rarely,small Scale,4,2,Sometimes,YES,1574
coal,private,rarely,large Scale,11,0,Sometimes,YES,1870
electricity,public,very frequently,medium Scale,23,0,Yes,YES,2123
coal,public,very frequently,small Scale,17,0,Yes,YES,1937
natural gas,private,rarely,Mega Scale,4,1,Sometimes,YES,1332
natural gas,private,rarely,medium Scale,13,0,No,YES,1559
electricity,public,frequently,medium Scale,3,0,Sometimes,YES,1042
coal,private,rarely,Mega Scale,6,2,Sometimes,YES,3307
coal,private,frequently,medium Scale,6,0,Yes,YES,2544
wood,public,rarely,large Scale,24,2,Sometimes,YES,2384
natural gas,public,frequently,small Scale,16,2,Sometimes,YES,1843
coal,private,frequently,Mega Scale,6,0,Yes,YES,2161
coal,public,rarely,Mega Scale,12,0,No,YES,1517
electricity,public,rarely,large Scale,3,1,No,YES,1324
coal,public,rarely,medium Scale,4,0,No,YES,1348
electricity,private,rarely,large Scale,16,1,Yes,YES,4257
electricity,public,very frequently,small Scale,22,2,No,YES,3037
natural gas,public,rarely,small Scale,10,1,Yes,YES,1069
electricity,private,very frequently,large Scale,20,2,No,YES,5391
natural gas,private,rarely,medium Scale,10,2,Yes,YES,1884
natural gas,private,rarely,medium Scale,17,2,No,YES,1721
electricity,public,rarely,medium Scale,12,1,No,YES,889
coal,public,very frequently,medium Scale,3,0,Sometimes,YES,2940
natural gas,private,very frequently,large Scale,19,0,Yes,YES,4712
electricity,private,rarely,Mega Scale,13,2,No,YES,1346
electricity,private,rarely,small Scale,15,1,Yes,YES,1218
natural gas,public,rarely,small Scale,6,0,No,YES,771
electricity,public,rarely,small Scale,5,2,Sometimes,NO,1339
natural gas,public,rarely,Mega Scale,11,2,Yes,YES,1801
wood,public,rarely,small Scale,11,2,Sometimes,YES,1484
wood,private,frequently,large Scale,0,0,Sometimes,YES,1619
coal,public,rarely,medium Scale,17,1,Yes,YES,1027
electricity,private,frequently,large Scale,8,1,Yes,YES,3169
wood,private,frequently,large Scale,15,1,No,YES,4042
wood,private,very frequently,Mega Scale,11,2,Yes,YES,4631
electricity,private,frequently,small Scale,13,2,Yes,YES,2305
electricity,private,very frequently,small Scale,10,2,No,YES,2951
wood,private,rarely,small Scale,15,2,Yes,YES,1352
natural gas,public,very frequently,Mega Scale,21,0,Yes,YES,2262
wood,public,rarely,small Scale,13,0,Yes,YES,863
wood,private,frequently,medium Scale,2,2,Yes,NO,2539
wood,private,very frequently,Mega Scale,11,1,No,YES,6816
natural gas,private,very frequently,Mega Scale,1,0,Yes,YES,2928
wood,public,rarely,medium Scale,12,1,Yes,YES,1749
natural gas,private,rarely,medium Scale,12,0,Yes,YES,1145
natural gas,public,very frequently,large Scale,14,1,Yes,YES,3454
natural gas,private,rarely,large Scale,8,1,Yes,YES,2066
electricity,private,frequently,medium Scale,18,0,No,YES,1062
coal,private,rarely,Mega Scale,7,1,Yes,YES,4260
electricity,private,rarely,Mega Scale,22,2,No,YES,2128
coal,public,rarely,Mega Scale,21,0,Sometimes,YES,1982
natural gas,public,frequently,large Scale,16,0,Yes,YES,2186
electricity,private,very frequently,large Scale,13,0,No,YES,3010
electricity,private,rarely,medium Scale,11,1,Yes,YES,1562
electricity,public,frequently,medium Scale,8,1,Sometimes,YES,1568
electricity,public,rarely,medium Scale,22,1,Sometimes,YES,790
coal,public,rarely,large Scale,17,2,Yes,YES,2566
electricity,private,rarely,medium Scale,24,1,No,YES,626
wood,private,rarely,medium Scale,6,0,Sometimes,YES,1501
electricity,private,rarely,small Scale,18,0,No,NO,3612
electricity,private,very frequently,large Scale,18,2,Yes,YES,2361
electricity,private,rarely,medium Scale,22,1,Sometimes,YES,4347
coal,public,frequently,Mega Scale,23,1,Sometimes,YES,2240
electricity,public,rarely,large Scale,5,2,Sometimes,NO,2045
coal,public,very frequently,large Scale,0,0,Yes,YES,2677
natural gas,public,frequently,small Scale,5,1,Sometimes,YES,1793
wood,public,rarely,Mega Scale,23,0,No,YES,2313
natural gas,public,rarely,small Scale,11,1,Sometimes,YES,996
wood,private,very frequently,medium Scale,2,0,Yes,YES,3222
wood,private,rarely,medium Scale,22,1,No,YES,1523
natural gas,public,rarely,large Scale,1,1,Yes,YES,2412
natural gas,private,rarely,large Scale,6,2,Sometimes,YES,3325
natural gas,private,frequently,medium Scale,3,0,Sometimes,YES,1910
wood,private,frequently,large Scale,9,1,Yes,YES,2673
wood,public,rarely,Mega Scale,10,0,No,YES,1644
natural gas,private,very frequently,medium Scale,23,0,Yes,YES,4496
wood,private,rarely,medium Scale,19,1,Yes,NO,1474
electricity,public,very frequently,large Scale,23,0,Yes,YES,2761
coal,private,rarely,small Scale,4,1,Sometimes,YES,2011
electricity,private,frequently,Mega Scale,19,2,Sometimes,YES,2209
wood,private,rarely,Mega Scale,21,2,Sometimes,YES,1911
natural gas,private,very frequently,small Scale,0,1,Sometimes,YES,2551
wood,public,rarely,Mega Scale,20,0,No,YES,1045
coal,public,very frequently,Mega Scale,1,2,No,YES,3995
wood,private,very frequently,medium Scale,14,2,Yes,YES,2901
electricity,public,very frequently,large Scale,15,2,Yes,YES,2958
natural gas,public,rarely,medium Scale,9,2,No,YES,1409
natural gas,public,very frequently,small Scale,6,1,Yes,NO,2511
wood,private,very frequently,Mega Scale,13,1,Yes,YES,4173
